rank,filename,match_score,skills,missing_skills,soft_skills,soft_skill_score,bias_warning
1,51588273.pdf,56.13,"Supervisor,rapport,expertise,State,Experience,largescale,UNIVERSITY,history,organizations,Education,loyalty,track,leadership,management,Studio,budgets,department,IIS,Agile,solutions,Led,systems,Crystal,MANAGER,result,Computer,ASHFORD,Foster,design,Developer,Summary,Scrum,Tools,Company,Systems,engineering,Development,Engineer,Dojo,MVC,Apache,Services,SOA,multidepartment,Information,Software,career,Current,IT,Senior,Bancorp,Oracle,MCI,Crosstrain,software,Java,reporting,PHP,work,SSIS,development,City,C,Web,ratios,companywide,issues,innovation,environments,life,team,EngineerArchitect,exposure,teams,August,planning,success,employees,Skills,abilities,Enterprise,SharePoint,LOUISIANA,years,Eclipse,JavaScript,ASPNET,SSRS,database,system,Name,legacy,WorldCom,SOFTWARE,relationships,Matrix,Cognos,Highlights,SQL,progress,projects,Engineering,ENGINEERING,April,ETL,developments,capacity,Troubleshot,personnel,ï¼,Multifaceted,architecture,Science,Manager,Orchestrate,order,Visual,ClientServer,project,Server,others,communication,enterprise,SaaS,guidanceprogress,record,cycle","security,platform,degree,search,challenges,funding,partners,experience,Benefits,evaluation,investment,training,GCP,skills,enhancement,round,B,models,coursework,practices,confidence,willingness,ELEVATION,Ventures,Azure,Requirements,integration,PyTorch,Interest,Preferred,Medical,AWS,Remote,Group,discussions,Reimbursement,Role,Sponsored,document,Python,pipelines,Sprintos,scientists,information,language,environment,First,tools,Responsibilities,technologies,Device,usability,Series,internship,familiarity,learning,Children,frameworks,LLMs,efficiency,post,Parents,Familiarity,Spouse,Cover,USD,Countries,data,model,Accel,performance,Hours,insurance,understanding,Accident,opportunity,engineers,Insurance,job,Days,Strong,AIdriven,infrastructure,Blume,processing,Sprinto,compliance,product,AI,services,TensorFlow,bar,ability,businesses,optimization,field,AIpowered,developer,Intern,Policy,Customers,Contribute,assist,improvement,Data,cloud,machine","leadership,communication",0.5,No bias detected
2,47919212.pdf,55.03,"products,servers,Montreat,Council,Global,degree,Capella,balance,Support,State,University,faculty,Education,cable,leadership,fiber,management,network,computers,Led,Address,training,role,Administration,Windows,connectivity,Gold,CPE,Beta,classes,graduation,Toastmasters,Distinguished,Parker,Systems,Company,customers,Star,Backup,Engineer,College,Lincoln,Administrator,hires,Masters,Associate,KnowMe,Head,maintenance,Additional,effort,Recruiting,diversity,Internet,Manufacturing,CSS,school,County,Outlook,Central,while,series,Piedmont,work,campus,Staffing,City,School,TAM,period,Initiative,May,Wrote,server,Community,Bachelors,day,Library,MBA,February,team,Toastmaster,Technician,communitywide,number,profile,planning,talent,Management,county,manager,Skills,InformationAwards,mentor,schools,MOM,system,Name,performance,month,award,networking,Mechanical,usage,Technology,customer,Operations,Dave,Exchange,Doctorate,SME,engineer,speech,readiness,Premier,Engineering,databases,collaboration,people,Commencement,ï¼,Business,phases,Routing,Degree,Science,Phillips,Manager,pack,CPCC,Microsoft,project,Server,issue,Novell,GPGP,Network,deployment,meetings","security,platform,search,Experience,challenges,funding,partners,solutions,experience,Benefits,systems,evaluation,investment,GCP,Computer,skills,enhancement,round,B,models,coursework,practices,confidence,engineering,ELEVATION,willingness,Ventures,Azure,Requirements,integration,PyTorch,Interest,Preferred,Medical,AWS,Remote,Group,discussions,Reimbursement,Role,Sponsored,document,Python,pipelines,Sprintos,scientists,software,information,language,environment,First,tools,development,Responsibilities,technologies,Device,usability,Series,internship,teams,familiarity,learning,Children,employees,frameworks,LLMs,efficiency,post,Parents,Familiarity,Spouse,Cover,USD,Countries,data,model,Accel,Hours,insurance,understanding,Accident,opportunity,engineers,Insurance,job,Days,Strong,AIdriven,infrastructure,Blume,processing,Sprinto,compliance,product,AI,services,TensorFlow,bar,ability,businesses,optimization,field,AIpowered,developer,Intern,Policy,Customers,Contribute,communication,assist,improvement,Data,cloud,machine",leadership,0.25,No bias detected
3,24647794.pdf,53.66,"Project,load,simulation,solution,Profile,studio,University,Experience,computer,Noise,Processing,cities,Education,Filter,assembly,leadership,Studio,Gas,management,Control,Analog,AutoCAD,Presidential,hardware,signal,Orcad,Real,INTERN,experience,file,UI,systems,wall,Analysis,board,Computer,letters,skills,maps,Region,scholarship,Research,Proficient,US,line,subsystems,parts,Logic,Guitar,design,NationalElectric,2D,MC68HC11,production,Systems,Laser,SPCC,Company,merit,engineering,printing,Active,V,Development,Facilities,Engineer,Testing,Prevention,PowerWorld,Analyzer,C6713,integration,CAPSTONE,Composer,lifecycle,Production,NEC,arm,allocation,Verilog,equipment,Matlab,Software,Applications,shop,cycle,Spill,Office,rig,ThreePhase,robot,Reading,Â,Ethics,Digital,Logistics,Design,MAC,circuit,power,Cancelling,analysis,Robot,software,IEEE,components,Mathcad,Time,voltage,citys,filters,language,duties,Accomplishments,devices,development,Multimeters,ETAP,C,3D,technology,PSPICE,Fall,Technical,Christian,Power,analog,instruments,logic,issues,entry,use,Programming,Simulink,oscilloscope,fire,microprocessor,life,Hardware,team,competition,Oscilloscope,BasicsNET,Lead,Training,noise,SolidWorks,Solar,Rwanda,HelioScope,August,tuner,Skills,manager,Countermeasure,spring,Troubleshooting,modelingAutoCAD,Circuit,Inventor,assessment,ride,program,Electrical,Entry,guitar,schematics,data,system,Name,control,Spring,Drafting,MS,ANC,implementation,transmission,process,office,algorithms,Oklahoma,Code,tool,chassis,Instrumentation,Signal,processing,product,Performed,Competition,Spectrum,Scholarship,Engineering,ENGINEERING,risk,robotics,managementElectronics,lab,Tuner,Microprocessors,Oil,Soldering,languages,October,September,PV,Failure,analyzer,Basics,Level,Schematics,Intern,DSK,students,order,Computersystems,Visual,research,project,communication,oil,Passive,July,testing,Electronics,English,Mapping,sites,consumption,circuits,Professional","security,platform,degree,search,challenges,funding,partners,solutions,Benefits,evaluation,investment,training,GCP,enhancement,round,B,models,coursework,practices,confidence,willingness,ELEVATION,Ventures,Azure,Requirements,PyTorch,Interest,Preferred,Medical,AWS,Remote,Group,discussions,Reimbursement,Role,Sponsored,document,Python,pipelines,Sprintos,scientists,information,environment,First,tools,Responsibilities,technologies,Device,usability,Series,internship,teams,familiarity,learning,Children,employees,frameworks,LLMs,efficiency,post,Parents,Familiarity,Spouse,Cover,USD,Countries,model,Accel,performance,Hours,insurance,understanding,Accident,opportunity,engineers,Insurance,job,Days,Strong,AIdriven,infrastructure,Blume,Sprinto,compliance,AI,services,TensorFlow,bar,ability,businesses,optimization,field,AIpowered,developer,Science,Policy,Customers,Contribute,assist,improvement,Data,cloud,machine","leadership,communication",0.5,No bias detected
4,54227873.pdf,48.45,"Tb,Johns,Master,workcycle,Church,Proficiency,Manned,Charlottesville,State,Experience,months,Created,specifications,Achievements,crunches,boys,leadership,network,AutoCAD,Sensors,Volunteer,INTERN,Scouting,Haiti,Varsity,junior,food,way,Internal,Windows,boxes,Worked,Computer,Room,skills,Sprint,US,VA,Jefferson,Summary,merit,GSkill,Company,customers,Rank,Present,College,Requirements,Insider,orders,Service,controls,Xcode,June,Va,company,pizzas,Highest,Base,December,point,tons,Virginia,companys,Oath,Information,Gb,Barracuda,Head,Software,leads,Football,cooler,Additional,Excel,Faith,Indian,locations,Ripjaws,victims,runners,meals,Python,Island,installation,badges,analysis,SATA,series,supplies,information,Military,Java,Activities,work,environment,VirginiaÂ,Methodist,Sports,modeling,percentage,problem,development,DDR3,School,BSA,C,drive,January,Club,United,Velocity,Bridge,volunteer,items,sports,Personal,Community,Autodesk,mile,Lynchburg,Programming,Drink,Wireless,life,Cemetery,Variable,Law,Hunger,Spirit,number,GTS,teams,MEP,August,station,employees,time,outfall,Seagate,Industrial,efficiency,Assistance,OS,League,reduction,drawings,Inventor,BIM,MD,program,RAM,Air,problems,collection,Powerpoint,system,Name,Eagle,awards,Department,March,Lacrosse,Reston,understanding,boy,need,Designed,Intelligent,Basic,MS,National,Gbs,office,rank,scouts,CPU,plans,Linux,Engineering,ENGINEERING,service,building,client,volunteers,situation,October,field,headquarters,Motherboard,BSAs,Science,WalkRun,Intern,Word,V8,Wiring,Papa,ethernet,Arlington,assault,materials,Boy,Visual,Z,Cooler,Server,project,Northern,honors,captain,Assisted,High,Scout,Network,July,testing,Tossed,HTML,VAV,Professional","security,platform,degree,search,challenges,Education,funding,partners,solutions,experience,Benefits,systems,evaluation,investment,training,GCP,enhancement,round,B,models,coursework,practices,confidence,engineering,ELEVATION,willingness,Ventures,Azure,integration,PyTorch,Interest,Preferred,Medical,AWS,Remote,Group,discussions,Reimbursement,Role,Sponsored,document,pipelines,Sprintos,scientists,software,language,First,tools,Responsibilities,technologies,Device,usability,team,Series,internship,familiarity,learning,Children,frameworks,LLMs,post,Parents,Familiarity,Spouse,Cover,USD,Countries,data,model,Accel,performance,Hours,insurance,Accident,opportunity,engineers,Insurance,job,Days,Strong,AIdriven,infrastructure,Blume,processing,Sprinto,compliance,product,AI,services,TensorFlow,bar,ability,businesses,optimization,AIpowered,developer,Policy,Customers,Contribute,communication,assist,improvement,Data,cloud,machine",leadership,0.25,No bias detected
5,55595908.pdf,47.1,"products,servers,HP,Install,press,fabrication,manufacturing,State,IBM,Experience,alignment,F200,repair,defects,specifications,Years,Education,cable,assembly,report,management,hours,Control,T400,diagram,network,label,c,experience,responsibilities,book,instructions,Profound,systems,bolt,units,Inspection,training,GB,EOS,skills,AUDITOR,cement,overtime,requirements,unit,weekends,manner,HDD,UPG,parts,Racks,math,design,Provide,production,Systems,conclusions,Tools,Knowledge,BL,Company,engineering,Customer,V,screw,documentation,V800,Problem,College,Inventory,MSN,orders,scheduler,Service,Follow,Maintenance,supply,improvise,Base,SKILLS,presses,G5,point,sketches,ratings,attitude,Cages,configuration,Fiber,user,equipment,Work,operator,andor,player,Class,F,Office,error,quality,Access,T,Current,Manufacturing,Rack,IT,Excel,inspection,Overview,Outlook,fitting,support,documents,power,exception,Storage,SATA,Fans,components,information,malfunctions,stress,TEST,Military,work,Integration,environment,duties,material,F400,storage,devices,Total,inspections,Quality,G7,City,technology,panels,January,accordance,procedures,G6,Ability,Configuration,Deep,Type,Test,processes,worker,Technical,WIP,Power,issues,logic,co,V400,defectfree,Judgment,companies,Controls,troubleshooting,team,checkout,Expert,Training,Career,build,Assembly,attention,Assembler,station,August,powder,operations,employees,FCALS,Document,Management,Skills,DL,time,Orderly,Complete,nodes,safety,drawings,Bachelor,upgrade,years,Equipment,program,G,data,Entry,ship,Build,problems,detonating,casescabinets,schematics,iraq,Name,performance,assistance,unites,TECHNICAL,Site,rivet,stake,Adjusttrim,construction,resolve,Point,465c,Channel,test,MS,LFF,supervisor,install,diagrams,process,Mechanical,Hard,Job,Technology,K,customer,schedule,chassis,plans,Instrumentation,delivery,method,product,Cable,ENGINEERING,Engineering,Nodes,functionality,science,Blade,ML,tolerances,cables,personnel,ability,Tower,ProLiant,Report,490c,Servers,October,ï¼,Mass,3PAR,connection,machines,holidays,Audit,Science,leader,Word,materials,Microsoft,assemblies,workers,fits,SITE,Qualifications,purpose,Read,coworkers,energy,subassemblies,communication,SAS,MS3PARSUPERDOM,EntryRecords,testing,standards,challenge,end,repairs,Data,detail,Drive,facts","security,platform,degree,search,challenges,funding,partners,solutions,Benefits,evaluation,investment,GCP,Computer,enhancement,round,B,models,coursework,practices,confidence,willingness,ELEVATION,Ventures,Azure,Requirements,integration,PyTorch,Interest,Preferred,Medical,AWS,Remote,Group,discussions,Reimbursement,Role,Sponsored,document,Python,pipelines,Sprintos,scientists,software,language,First,tools,development,Responsibilities,technologies,Device,usability,Series,internship,teams,familiarity,learning,Children,frameworks,LLMs,efficiency,post,Parents,Familiarity,Spouse,Cover,USD,Countries,model,Accel,system,Hours,insurance,understanding,Accident,opportunity,engineers,Insurance,job,Days,Strong,AIdriven,infrastructure,Blume,processing,Sprinto,compliance,AI,services,TensorFlow,bar,businesses,optimization,field,AIpowered,developer,Intern,Policy,Customers,Contribute,assist,improvement,cloud,machine",communication,0.25,No bias detected
6,61579998.pdf,47.09,"Project,Program,Architecture,Airlines,State,Experience,Crews,ANSYS,management,Creation,Studio,AutoCAD,hardware,Agile,experience,Led,Based,level,Developed,MANAGER,training,Analysis,feederdelinker,screens,Pro,Requisite,US,design,production,Summary,Systems,Artists,Company,Handsoft,engineering,Customer,Active,contact,Development,Engineer,Security,Requirements,integration,company,worth,conduit,point,reviews,inclusive,Dillon,configuration,Matlab,Software,IMI,suite,subcontractors,Current,Game,Â,ClearQuest,curriculum,areas,Design,game,timing,DFMA,Fighting,Sigma,DFADFM,Secret,JAVA,knowledge,software,subcontracts,Integration,estimates,environment,pricing,Navy,Cabin,development,SYSTEMS,Bradley,City,LEANSix,Test,processes,Technical,Engineers,HardwareSoftware,PoPÂ,M134a,sample,LCS,Simulink,February,ePDM,domain,Emirates,Creo,Skills,Management,projection,Clearance,Safety,model,system,Name,performance,award,VisioDOORS,excelling,Rational,Learning,MS,Vehicle,Mechanical,MathCAD,year,tool,schedule,weapon,product,Engineering,ENGINEERING,spectrum,Jira,budget,Developers,Multifaceted,architecture,proposal,scope,Manager,System,M,Manage,Microsoft,Simulator,Visual,enterprise,Solidworks,manpower,Data,Minigun","security,platform,degree,search,challenges,Education,funding,partners,solutions,Benefits,systems,evaluation,investment,GCP,Computer,skills,enhancement,round,B,models,coursework,practices,confidence,willingness,ELEVATION,Ventures,Azure,PyTorch,Interest,Preferred,Medical,AWS,Remote,Group,discussions,Reimbursement,Role,Sponsored,document,Python,pipelines,Sprintos,scientists,information,language,First,tools,Responsibilities,technologies,Device,usability,team,Series,internship,teams,familiarity,learning,Children,employees,frameworks,LLMs,efficiency,post,Parents,Familiarity,Spouse,Cover,USD,Countries,data,Accel,Hours,insurance,understanding,Accident,opportunity,engineers,Insurance,job,Days,Strong,AIdriven,infrastructure,Blume,processing,Sprinto,compliance,AI,services,TensorFlow,bar,ability,businesses,optimization,field,AIpowered,developer,Science,Intern,Policy,Customers,Contribute,communication,assist,improvement,cloud,machine",None,0.0,No bias detected
7,62071407.pdf,45.63,"Ships,Project,Supervisor,BC,Repaired,FT4,needs,PLC,Oxidizing,Plastics,architects,manufacturing,mechanics,recovery,State,HVAC,largescale,AutoCad,Experience,sewer,University,programming,navy,sensor,prices,Education,deadline,settings,charge,propulsion,management,timetables,foot,yachts,industry,Light,Honeywell,Osmosis,laboratory,experience,INTERN,ground,level,calibration,systems,MECHANICAL,USA,Facility,skills,upgrades,Trains,unit,generators,Proficient,ManagerElectrician,parts,Thermal,design,production,Summary,syst,tasks,Company,engineering,modifications,Planned,PLCs,Engineer,dollar,Roads,Works,liquid,failure,Maintenance,Tech,trailers,Data,lists,stack,arm,Louisiana,Fire,oxygen,strategies,prioritization,Operator,diesel,equipment,carpentry,stations,wastewater,Citrix,maintenance,engines,Office,quality,temperature,suppression,water,rail,frames,Marine,Solid,turbines,installation,power,analysis,Acquisition,generator,IPCPLC,components,conveyor,Time,Military,modification,work,molding,gas,foyer,plants,Navy,engine,Electro,trains,City,procedures,operating,Detroit,techniques,Knorr,chart,Piping,scheduling,ferries,LRVs,ElectronicsElectrical,Royal,troubleshooting,fire,team,ships,schedules,Technician,fuel,SolidWorks,prototype,station,thermocouple,Skills,manager,time,Crossdisciplinary,ElectricalMechanical,braking,Treatment,ElectricalElectronic,fiberglass,drawings,Intralox,recorders,years,zone,Bachelor,instrumentation,FT12,watts,Electrical,Initiated,Bombardier,problems,system,Name,conversion,coordination,control,sizer,switchboards,members,Installed,Watlow,process,Mechanical,office,operation,consumption,Reverse,Highlights,Performed,progress,contractors,Root,projects,Engineering,ENGINEERING,risk,building,reports,LRV,Wired,Operated,personnel,treatment,tanks,budget,plating,machines,plant,Failure,phases,300kw,Science,rooms,Manager,Intern,Kw,materials,Microsoft,Modifications,Updated,research,project,Giga,Ul142,speed,oil,vehicle,PTU,controllers,pressure,standards,distillation,Electronics,Professional,sites,updraft,machine","security,platform,degree,search,challenges,funding,partners,solutions,Benefits,evaluation,investment,training,GCP,Computer,enhancement,round,B,models,coursework,practices,confidence,willingness,ELEVATION,Ventures,Azure,Requirements,integration,PyTorch,Interest,Preferred,Medical,AWS,Remote,Group,discussions,Reimbursement,Role,Sponsored,document,Python,pipelines,Sprintos,scientists,software,information,language,environment,First,tools,development,Responsibilities,technologies,Device,usability,Series,internship,teams,familiarity,learning,Children,employees,frameworks,LLMs,efficiency,post,Parents,Familiarity,Spouse,Cover,USD,Countries,data,model,Accel,performance,Hours,insurance,understanding,Accident,opportunity,engineers,Insurance,job,Days,Strong,AIdriven,infrastructure,Blume,processing,Sprinto,compliance,product,AI,services,TensorFlow,bar,ability,businesses,optimization,field,AIpowered,developer,Policy,Customers,Contribute,communication,assist,improvement,cloud",None,0.0,No bias detected
8,26834746.pdf,44.38,"savings,Project,Inspector,Supervisor,budgeting,Develop,PLC,account,expertise,fabrication,inventory,site,programming,HVAC,State,Experience,mate,Compliance,variety,history,computer,Accordance,Philadelphia,Education,Bodies,charge,leadership,Organization,management,weld,purchase,industry,facility,execution,HVACR,machinery,Tagout,contracts,solutions,completion,firewatersmoke,level,lead,systems,waste,goals,MANAGER,training,Worked,Green,relationship,Plant,Facility,adherence,skills,productionprocess,upgrades,function,manner,Requisite,asset,parts,designs,design,Provide,production,advantage,Summary,component,Systems,Company,hydraulics,spending,engineering,monitoring,Facilities,modifications,depts,documentation,customers,Engineer,Security,Certified,code,Fireman,NFPA,orders,controls,Nuclear,preservation,flaw,Track,Regulatory,Maintenance,Data,NEC,FACILITIES,estate,group,ROI,EHS,business,codes,andor,Work,equipment,Submariner,organization,wastewater,maintenance,shop,clients,Documentation,quality,truck,Current,Propulsion,Regulating,commissioning,spec,Field,areas,inspection,Committee,support,regulations,facilities,power,installation,preparation,place,knowledge,software,associate,automation,EPA,work,environment,Capacity,plants,storage,vacuum,Navy,supplier,development,Quality,City,laundrylinen,procedures,operating,processes,Power,supervision,leak,utility,providers,issues,Center,containers,expenditures,use,Assurance,ASME,IBC,fire,team,MSA,ships,Leed,costs,Pricing,build,operations,activities,efforts,planning,teams,consultants,view,employees,Negotiate,suppliers,programs,Management,Duties,manager,detection,committee,vendors,welding,Skills,safety,reduction,Commission,helium,upgrade,Safety,conditions,database,data,ship,procurement,laundry,system,Name,coordination,performance,changes,Planning,Site,metrics,steam,capital,reliability,engineers,implementation,operation,invoices,fork,Excellent,year,schedule,infrastructure,ownership,plans,compliance,Liaise,outsource,contractors,projects,Engineering,ENGINEERING,departments,Issue,monorail,building,reports,pneumatics,firefighter,Machinists,USS,matrix,medal,Approve,CPUs,budget,ï¼,optimization,initiatives,plant,phases,Jr,leader,KPIs,disciplines,Manager,materials,Plan,Manage,radiography,responsibility,Plumbing,Mil,EMT,Vacuum,others,project,Energy,Chief,communication,MSAs,working,tracking,repair111999,testing,standards,vendor,cost,pressure,Achievement,repairs,Professional,meetings,machine","security,platform,degree,search,challenges,funding,partners,experience,Benefits,evaluation,investment,GCP,Computer,enhancement,round,B,models,coursework,practices,confidence,willingness,ELEVATION,Ventures,Azure,Requirements,integration,PyTorch,Interest,Preferred,Medical,AWS,Remote,Group,discussions,Reimbursement,Role,Sponsored,document,Python,pipelines,Sprintos,scientists,information,language,First,tools,Responsibilities,technologies,Device,usability,Series,internship,familiarity,learning,Children,frameworks,LLMs,efficiency,post,Parents,Familiarity,Spouse,Cover,USD,Countries,model,Accel,Hours,insurance,understanding,Accident,opportunity,Insurance,job,Days,Strong,AIdriven,Blume,processing,Sprinto,product,AI,services,TensorFlow,bar,ability,businesses,field,AIpowered,developer,Science,Intern,Policy,Customers,Contribute,assist,improvement,cloud","leadership,communication",0.5,No bias detected
9,64468610.pdf,44.32,"migration,products,servers,Project,peer,needs,GPRX,solution,top,layer,GUI,postproduction,State,applications,dtahandler,Institute,Education,framework,deliverables,Communication,management,report,crash,decoder,media,DPS,completion,IP,file,UI,Hired,Unicode,Established,Windows,code081994,SAN,Computer,assets,Scavenger,editing,picon,classes,Scrum,effects,Company,64bit,Bank,SAX,Development,Star,documentation,Engineer,concept,FTP,code,Content,proxy,converter,Media,integration,http,contents,domains,parser,SOA,evolution,OOP,business,user,Software,Corporation,engines,container,Approach,clients,explorer,guidelines,reader,India,com,bridge,document,primarybackup,documents,Requestor,URI,Products,analysis,software,components,scalability,json,workflow,storage,tools,engine,formats,development,Leitch,specification,space,City,technology,hand,C,procedures,broadcast,Render,JSON,Velocity,Picon,server,HTML5,BE,issues,use,TCP,video,header,style,holding,lines,team,Hardware,desktop,MediaBase,audio,protocol,build,XML,Team,playback,success,UMID,Win32,Skills,Principal,Naperville,device,party,JavaScript,rules,web,Suite,Name,Innovation,performance,side,MFC,legacy,NAS,page,Editing,rendering,MS,National,ATL,milliseconds,implementation,REST,approach,Evolved,lowres,export,process,operation,Illinois,office,K,Technology,Architected,Multithreaded,product,IDs,Helios,Nexio,services,Harris,Engineering,service,projects,Proxy,Transcoder,part,format,httpwwwimaginecommunicationscomproductsplayoutvideoservers,Encoder,size,socket,Win,CLI,MB,architecture,ï¼,import,core,gen,Science,DLL,Manager,API,Guided,CA,writer,source,modules,encoder,Helper,threads,Video,LAN,review,Electronics,Beijing","security,platform,degree,search,Experience,challenges,funding,partners,solutions,experience,Benefits,systems,evaluation,investment,training,GCP,skills,enhancement,round,B,models,coursework,practices,confidence,engineering,ELEVATION,willingness,Ventures,Azure,Requirements,PyTorch,Interest,Preferred,Medical,AWS,Remote,Group,discussions,Reimbursement,Role,Sponsored,Python,pipelines,Sprintos,scientists,information,language,environment,First,Responsibilities,technologies,Device,usability,Series,internship,teams,familiarity,learning,Children,employees,frameworks,LLMs,efficiency,post,Parents,Familiarity,Spouse,Cover,USD,Countries,data,model,Accel,system,Hours,insurance,understanding,Accident,opportunity,engineers,Insurance,job,Days,Strong,AIdriven,infrastructure,Blume,processing,Sprinto,compliance,AI,TensorFlow,bar,ability,businesses,optimization,field,AIpowered,developer,Intern,Policy,Customers,Contribute,communication,assist,improvement,Data,cloud,machine",communication,0.25,No bias detected
10,24322804.pdf,43.31,"Project,Unit,individual,PLC,degree,Division,integrators,manufacturing,mechanics,programming,State,University,Lay,feedback,goal,Experience,computer,Education,candidate,department,leadership,management,weld,facility,AutoCAD,experience,OEE,level,systems,labor,role,Analysis,position,Computer,Strengths,skills,Courses,line,parts,Logic,design,Tennessee,production,models,Summary,Systems,Company,practices,engineering,education,ArcelorMittal,contact,Engineer,Jan,controls,Leader,economy,efficiencies,Regulatory,supply,Maintenance,company,bonus,point,Course,Fanuc,Frito,equipment,request,organization,reductions,maintenance,vocation,quality,career,UNIT,cells,Current,BUSINESS,MaintenanceEngineering,effectiveness,Middle,positions,Robot,Electricity,components,Aaron,automation,decisionmaking,12Million,work,faults,CAD,problem,City,resume,C,relation,Grammar,Technical,issues,limitation,Controls,team,minor,improvements,Technician,Training,Economy,leaders,planning,learning,Skills,manager,time,vendors,Industrial,efficiency,abilities,safety,Bachelor,drawings,Sciences,Circuit,instrumentation,Lovely,4th,PepsiCo,profession,Electrical,schematics,productivity,system,Name,31Million,performance,concentration,Programmable,wiring,supervisors,LEADER,capital,Mechanical,class,rank,Technology,schedule,Operations,crewing,Instrumentation,basis,product,FederalState,24Million,requests,Engineering,ENGINEERING,departments,projects,reports,Laws,personnel,ability,MTSU,budget,shift,field,ï¼,distribution,chain,Managed,Business,Basics,Science,KPIs,project,fix,communication,college,concepts,standards,cost,admins","security,platform,search,challenges,funding,partners,solutions,Benefits,evaluation,investment,training,GCP,enhancement,round,B,coursework,confidence,willingness,ELEVATION,Ventures,Azure,Requirements,integration,PyTorch,Interest,Preferred,Medical,AWS,Remote,Group,discussions,Reimbursement,Role,Sponsored,document,Python,pipelines,Sprintos,scientists,software,information,language,environment,First,tools,development,Responsibilities,technologies,Device,usability,Series,internship,teams,familiarity,Children,employees,frameworks,LLMs,post,Parents,Familiarity,Spouse,Cover,USD,Countries,data,model,Accel,Hours,insurance,understanding,Accident,opportunity,engineers,Insurance,job,Days,Strong,AIdriven,infrastructure,Blume,processing,Sprinto,compliance,AI,services,TensorFlow,bar,businesses,optimization,AIpowered,developer,Intern,Policy,Customers,Contribute,assist,improvement,Data,cloud,machine","leadership,communication,teamwork",0.75,No bias detected
